"","Current or provisional name","Name used in publication","Collected as","Collection Number (PTM)","UBC Accession #","Genbank Number","Collection Date","Habitat","Site #","Notes","PSBA.Accession","COI.5P.Accession","rbcL.Accession"
"83","Crusticorallina adhaerens","Crusticorallina adhaerens","Coralline crust",1195,"A92120"," MK590034 ","July 13, 2014","subtidal 12.8m",2,"quad 1-sample 6","","MK590034",""
"84","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1196,"A92121","MK567551  ","July 13, 2014","subtidal 12.8m",2,"quad 1-sample 7; (missed a sample?; worksheet said B. schmittii)","MK567551","",""
"85","Chiharaea americana","Chiharaea americana","Chiharaea americana",1198,"A92123","MK567593  ","July 13, 2014","subtidal 12.8m",2,"quad 2-sample 2; voucher in bag; not a sequencing priority","MK567593","",""
"86","Crusticorallina painei","Crusticorallina painei","Coralline crust",1199,"A91423","MK567626  ","July 13, 2014","subtidal 12.8m",2,"quad 2-sample 3; not adherent; shelf-like","MK567626","",""
"87","Lithothamnion glaciale","Lithothamnion glaciale","Coralline crust",1200,"A92130","MK567576  ","July 13, 2014","subtidal 12.8m",2,"quad 2-sample 4; wormy; with proturberances","MK567576","",""
"88","Lithothamnion glaciale","Lithothamnion glaciale","Coralline crust",1201,"A92131","MK567564  ","July 13, 2014","subtidal 12.8m",2,"quad 2-sample 5; rosey pink crust in broken corner; smaller on rock; voucher in bag","MK567564","",""
"89","Corallinacsp.7BCcrust","Lithothamnion sp.","Coralline crust",1202,"A92132","MK567582  ","July 13, 2014","subtidal 12.8m",2,"quad 2-sample 6; thin peachy colour; smooth; voucher in bag","MK567582","",""
"90","Crusticorallina muricata","Crusticorallina muricata","Coralline crust",1203,"A91424","MK567577  ","July 13, 2014","subtidal, 12.4m",2,"quad 3-sample 1; not adherent; Derbesia in worm tubes; swirly; reproductive; thick white margin; voucher in bag","MK567577","",""
"91","Crusticorallina muricata","Crusticorallina muricata","Coralline crust",1204,"A92128","MK567549  ","July 13, 2014","subtidal, 12.4m",2,"quad 3-sample 2; wormy; voucher in bag; same as 1203?","MK567549","",""
"92","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1205,"A92133","MK567554  ","July 13, 2014","subtidal, 12.4m",2,"quad 3-sample 3","MK567554","",""
"93","Lithothamnion glaciale","Lithothamnion glaciale","Lithothamnion phymatodeum",1206,"A92134","MK567548  ","July 13, 2014","subtidal, 12.4m",2,"quad 3-sample 4","MK567548","",""
"94","Lithophyllum sp.4","Lithophyllum sp.4","Coralline crust",1207,"no voucher","MK567580  ","July 13, 2014","subtidal, 12.4m",2,"quad 3-sample 5; DNA only; no voucher","MK567580","",""
"95","Crusticorallina painei","Crusticorallina painei","Coralline crust",1208,"A92135","MK567600  ","July 13, 2014","subtidal 11.9 m",2,"quad 4-sample 1","MK567600","",""
"96","Lithothamnion glaciale","Lithothamnion glaciale","Coralline crust",1209,"A92136","MK567622  ","July 13, 2014","subtidal 11.9 m",2,"quad 4-sample 3; on limpets; needs DNA; voucher in bag","MK567622","",""
"97","Lithothamnion glaciale","Lithothamnion glaciale","Lithothamnion phymatodeum",1210,"A92137","MK567614  ","July 13, 2014","subtidal 11.9 m",2,"quad 4-sample 4","MK567614","",""
"98","Corsp.27BCcrust","Lithophyllum sp.3","Coralline crust",1211,"A92138","MK567547  ","July 13, 2014","subtidal 11.9 m",2,"quad 4-sample 5; pink speckled","MK567547","",""
"99","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1213,"A92140","MK567602  ","July 13, 2014","subtidal 15m",2,"quad 5-sample 2","MK567602","",""
"100","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1214,"A92141","MK567546  ","July 13, 2014","subtidal 15m",2,"quad 6-sample 1; on B. schmittii; voucher in bag","MK567546","",""
"101","Lithothamnion glaciale","Lithothamnion glaciale","Coralline crust",1215,"A92142","MK567608  ","July 13, 2014","subtidal 15m",2,"quad 6-sample 2; dirty","MK567608","",""
"102","Mesophyllum vancouveriense","Mesophyllum vancouveriense","Coralline crust",1216,"A92143","MK567594  ","July 13, 2014","subtidal 15m",2,"quad 6-sample 3","MK567594","",""
